title,href,rubric
"Что изменится в жизни россиян в августе: индексация пенсий, отмена техосмотра и новые выплаты на детей",/brief/2021/08/01/august/,Россия
"«Вдруг я понимаю: это следы медведя» Как москвичка изменила свою жизнь, чтобы объездить Россию и снять ее с дрона",/articles/2021/08/01/poehali/,Моя страна
«Людей станут массово вытеснять» Кто в ближайшем будущем потеряет работу из-за искусственного интеллекта?,/articles/2021/08/01/intel/,Культура
Пандемия из пробирки. Мог ли коронавирус утечь из китайской лаборатории и почему эта версия набирает популярность?,/articles/2021/07/31/lab_leak/,Мир
"«Сейчас танки войдут, все разбегутся» В 1994 году российских солдат послали в Грозный и бросили. Кому это было выгодно?",/articles/2021/07/31/tankist/,Россия
"На Большом адронном коллайдере открыли новую форму материи. Почему ученые не понимают, с чем они столкнулись?",/articles/2021/07/31/tetraquark/,Наука и техника
"«У нас героем становится любой» Кем были Герои Советского Союза, за что их лишали званий и казнили?",/articles/2021/07/29/geroi/,Наука и техника
«Я такого не видел никогда» В Карелии бушуют лесные пожары. Как местные жители выживают посреди огненной стихии,/articles/2021/07/30/karelia/,Россия
"Убийца-хамелеон. Полиция 12 лет гонялась за неуловимой преступницей. Перехитрив всех, она унесла свои тайны в могилу",/articles/2021/07/31/chameleon/,Из жизни
«Его сверхспособности — идиотские» Как режиссер «Отряда самоубийц» воскресил главный кинопровал десятилетия?,/articles/2021/07/31/jamesgunn/,Культура
Слили в трубу. Как сделка США и Германии по «Северному потоку-2» заставит Украину изменить отношение к России?,/articles/2021/07/30/v_trubu/,Бывший СССР
Лучшее автомобильное видео июля 2021 Болид Формулы-1 и истребитель и превращенный в велосипед Honda Civic,https://motor.ru/selector/vidjuly21.htm?utm_source=from_lenta,
"Туалет, отделка камнем и кофемашина: странные автомобильные опции Без этих опций точно можно прожить",https://motor.ru/selector/weird-options.htm?utm_source=from_lenta,
«Нужно было начать новую жизнь» Как на Олимпиаде в Токио появилась сборная беженцев и от чего сбежали эти спортсмены?,/articles/2021/08/01/refugee_team/,Спорт
«Проверьте их на допинг!» Почему россияне терпят нападки на Олимпиаде в Токио и за что их хвалят иностранцы,/articles/2021/07/30/press/,Спорт
